system,gene,chembl_target,motion_timescale,dyna1_test_tier,apo_pdb,apo_res_A,holo_pdb,holo_res_A,apo_in_pdbbind_refined,holo_in_pdbbind_refined,flexibility_mechanism,dyna1_rationale,difficulty_source,uniprot,alphafold_url,impact_score,difficulty_score,s_disease,s_precedent,s_unmet,s_exchange,s_cryptic,s_selectivity,flagship
Adenylate kinase,adk,CHEMBL4681,"µs–ms (domain motion, NMR)",A,4ake,2.2,1ake,2.0,False,False,Large open↔closed LID/NMP domain motion (µs-ms),Prototype domain-scale conformational exchange,Henzler-Wildman/Kern 2007,P69441,https://alphafold.ebi.ac.uk/entry/P69441,3.33,6.0,2,1,2,5,2,2,False
Cyclophilin A,PPIA,CHEMBL262,"µs–ms (NMR RD, gold standard)",A,2cpl,1.63,1cwa,2.1,False,False,Classic µs-ms conformational exchange (Arg55 loop) by CPMG relaxation dispersion,Canonical NMR µs-ms exchange system — the exact motion Dyna-1 predicts,Eisenmesser/Kern 2005 (NMR),P62937,https://alphafold.ebi.ac.uk/entry/P62937,6.0,6.67,3,3,3,5,2,3,False
Dihydrofolate reductase (E. coli),folA,CHEMBL1809,"µs–ms (Met20 loop, NMR)",A,5dfr,2.3,1rx2,1.8,False,False,Met20 loop closed↔occluded µs-ms motion coupled to catalysis,Textbook loop-dynamics enzyme; µs-ms motion documented by NMR,Boehr/Wright 2006,P0ABQ4,https://alphafold.ebi.ac.uk/entry/P0ABQ4,6.0,6.0,3,4,2,4,2,3,False
HIV-1 protease,pol,CHEMBL243,"µs–ms (flap, NMR/MD)",A,1hhp,2.7,1hxw,1.8,False,True,Flap opening µs-ms dynamics,Flap µs-ms dynamics well characterized; induced-fit on inhibitor binding,NMR/MD flap studies,P04585,https://alphafold.ebi.ac.uk/entry/P04585,8.67,6.67,5,5,3,4,3,3,False
Ricin / RNase A style loop,RNASE1,CHEMBL2189,µs–ms (NMR RD),A,7rsa,1.26,1rpg,1.4,False,False,µs-ms loop motion (classic relaxation dispersion),Historic NMR µs-ms exchange model,NMR relaxation dispersion,P61823,https://alphafold.ebi.ac.uk/entry/P61823,3.33,5.33,2,1,2,4,2,2,False
Triosephosphate isomerase,TPI1,CHEMBL2321623,"µs–ms (loop-6, NMR)",A,1ypi,1.9,2jk2,1.7,False,False,Catalytic loop-6 open↔closed µs-ms,Loop-6 µs-ms motion textbook case,NMR/kinetics,P60174,https://alphafold.ebi.ac.uk/entry/P60174,3.33,6.0,2,1,2,5,2,2,False
PTP1B,PTPN1,CHEMBL335,µs–ms (WPD loop) + cryptic,A/B,2cm2,1.5,1t49,1.9,False,False,WPD loop open↔closed µs-ms; cryptic allosteric site,WPD-loop µs-ms motion + cryptic 197-site — strong dynamics+cryptic test,CryptoSite; NMR,P18031,https://alphafold.ebi.ac.uk/entry/P18031,7.33,8.67,4,2,5,5,5,3,False
BACE1,BACE1,CHEMBL4822,µs–ms (flap),B,1sgz,2.0,2b8l,1.7,False,False,Flap open↔closed µs-ms,Aspartyl-protease flap dynamics analogous to HIV-PR,Flap dynamics,P56817,https://alphafold.ebi.ac.uk/entry/P56817,8.67,6.67,5,3,5,4,3,3,False
CDK2 (inactive),CDK2,CHEMBL301,loop/G-loop + slow activation,B,1b38,2.0,1e1x,1.85,True,True,G-loop/Tyr15 mobility; DFG; inactive↔active,FeatureDock's own flexible case; inactive/active envelopes differ near Tyr15 G-loop,FeatureDock (B-factor Fig S11),P24941,https://alphafold.ebi.ac.uk/entry/P24941,8.0,6.67,5,3,4,4,3,3,False
CDK2/Cyclin (active),CDK2,CHEMBL301,activation-coupled (2nd state),B,6gue,1.99,4bck,2.052,True,True,Cyclin-induced C-helix/activation-loop rearrangement,Second conformational state of same pocket — direct multi-state test,FeatureDock,P24941,https://alphafold.ebi.ac.uk/entry/P24941,8.0,6.67,5,3,4,4,3,3,False
KRAS (G12C),KRAS,CHEMBL2189121,cryptic switch-II (state-dependent),B,4obe,1.24,6oim,1.65,False,False,Switch-II cryptic pocket only present in certain states,Cryptic switch-II pocket; state-dependent — pure static structure misleads,Cryptic-pocket literature,P01116,https://alphafold.ebi.ac.uk/entry/P01116,9.33,8.67,5,4,5,4,5,4,False
TEM-1 beta-lactamase,bla,CHEMBL5443,cryptic pocket (MD-revealed),B,1jwp,1.75,1pzo,1.9,False,False,Cryptic pocket (horn) revealed by dynamics,CryptoSite benchmark cryptic pocket; MD-revealed,CryptoSite (Cimermancic 2016),P62593,https://alphafold.ebi.ac.uk/entry/P62593,6.0,6.67,3,2,4,3,5,2,False
Abl kinase,ABL1,CHEMBL1862,slow DFG flip + cryptic,C,2g1t,1.8,1opj,1.75,False,False,DFG-in↔DFG-out; myristoyl allosteric pocket,DFG flip is a slow conformational change; allosteric cryptic site,Kinase conformational dynamics,P00519,https://alphafold.ebi.ac.uk/entry/P00519,8.67,9.33,5,5,3,5,4,5,True
Adenosine A2A receptor,ADORA2A,CHEMBL251,GPCR state (helix motion),C,3eml,2.6,2ydo,3.0,False,False,GPCR active↔inactive; helical motion,GPCR state-dependent pocket; µs-ms helix motion,GPCR dynamics,P29274,https://alphafold.ebi.ac.uk/entry/P29274,7.33,6.67,4,4,3,3,4,3,False
Glucokinase,GCK,CHEMBL3820,slow global open/closed,C,1v4s,2.3,3fgu,2.15,False,False,Slow open↔closed super-open conformational transition,Allosteric enzyme with documented slow (µs-ms+) global motion,Allosteric kinetics,P35557,https://alphafold.ebi.ac.uk/entry/P35557,6.67,5.33,4,2,4,3,3,2,False
HSP90-alpha,HSP90AA1,CHEMBL3880,lid open/closed,C,1yer,1.65,2xjx,1.66,False,True,ATP-lid open↔closed; loop flexibility,Lid dynamics gate the ATP pocket,Chaperone dynamics,P07900,https://alphafold.ebi.ac.uk/entry/P07900,6.67,6.0,4,3,3,3,3,3,False
Src kinase,SRC,CHEMBL267,αC/activation equilibrium,C,2src,1.5,2h8h,2.2,False,False,αC-helix in↔out; activation-loop,Inactive/active equilibrium; classic conformational selection,Kinase dynamics,P12931,https://alphafold.ebi.ac.uk/entry/P12931,8.0,8.0,5,3,4,4,3,5,True
p38-alpha MAPK,MAPK14,CHEMBL260,slow DFG flip,C,1wfc,2.3,1kv2,2.8,False,False,Activation loop + DFG-out flexibility,DFG-out type-II binders require modeling the slow flip,Kinase dynamics,Q16539,https://alphafold.ebi.ac.uk/entry/Q16539,7.33,7.33,4,4,3,4,3,4,False
